"High Temp","Low Temp","Day Average Temp","Precipitation","Dew Point (°F)","Humidity","date","city"
77,65,71.4,0.1,45.32,40.32,2020-06-07,"new york city"
80,64,71.96,0,44.92,39.04166667,2020-06-08,"new york city"
91,69,81.2,0,52.12,37,2020-06-09,"new york city"
84,69,75.46,0,61.96,63.30769231,2020-06-10,"new york city"
81,70,74,0,65.94,76.15151515,2020-06-11,"new york city"
86,70,78.71,0.05,52.29,44.16666667,2020-06-12,"new york city"
76,62,68.67,0,42.54,39.70833333,2020-06-13,"new york city"
75,55,65,0,42.13,43.875,2020-06-14,"new york city"
76,62,67.88,0,48.67,51.79166667,2020-06-15,"new york city"
79,63,70.63,0,49.21,49,2020-06-16,"new york city"
78,63,69.72,0,57.34,66.10344828,2020-06-17,"new york city"
77,66,69.81,0,62.97,NA,2020-06-18,"new york city"
85,68,73.56,0,62.66,70.65625,2020-06-19,"new york city"
87,73,78.79,0,63.38,59.70833333,2020-06-20,"new york city"
88,74,79.58,0,63.42,58.70833333,2020-06-21,"new york city"
93,76,82.63,0,63.83,54.45833333,2020-06-22,"new york city"
87,76,80.75,0,65.67,60.79166667,2020-06-23,"new york city"
88,76,81.88,0,58.24,48.12,2020-06-24,"new york city"
88,74,80.17,0,52.54,39.29166667,2020-06-25,"new york city"
89,73,81.08,0,53.79,42,2020-06-26,"new york city"
82,76,79.58,0,62.21,56.20833333,2020-06-27,"new york city"
91,73,81.81,0.25,66.54,61.34615385,2020-06-28,"new york city"
89,73,78.48,0.02,62.96,60.66666667,2020-06-29,"new york city"
79,70,73.86,0.07,61.83,66.34482759,2020-06-30,"new york city"
83,69,75.85,0,62.85,65.29268293,2020-07-01,"new york city"
94,70,81.96,0,61.13,51.79166667,2020-07-02,"new york city"
92,72,79.79,0,66.66,66.15789474,2020-07-03,"new york city"
86,70,75.06,0.36,63.94,69.64516129,2020-07-04,"new york city"
95,74,82.46,0,64,56.84615385,2020-07-05,"new york city"
95,74,82.33,0,63.42,56.27272727,2020-07-06,"new york city"
81,73,76.03,0.05,67.53,75.05,2020-07-07,"new york city"
87,78,81.63,0,69.57,67.37142857,2020-07-08,"new york city"
90,78,83.17,0.01,67.96,61.625,2020-07-09,"new york city"
79,73,75.75,0,71.26,86.03278689,2020-07-10,"new york city"
87,75,80.49,2.47,70.84,72.89189189,2020-07-11,"new york city"
92,76,83.33,0.04,61.25,49.08333333,2020-07-12,"new york city"
89,76,82.92,0.05,60.71,48.5,2020-07-13,"new york city"
87,74,80.32,0,59.24,49.64,2020-07-14,"new york city"
82,72,75.45,0,63.55,66.87878788,2020-07-15,"new york city"
79,71,74.37,0,59.13,59.16666667,2020-07-16,"new york city"
86,71,77.56,0.02,67.07,70.59259259,2020-07-17,"new york city"
94,74,82.65,0.02,64.46,58.73076923,2020-07-18,"new york city"
96,80,87.72,0,67.44,51.84,2020-07-19,"new york city"
95,84,89.42,0,67.83,50.5,2020-07-20,"new york city"
93,79,86,0,62.42,45.91666667,2020-07-21,"new york city"
94,75,82.42,0.05,70.65,68.48387097,2020-07-22,"new york city"
91,76,82.63,0.79,69.92,66.25,2020-07-23,"new york city"
83,75,77.67,0.05,68.77,74.36666667,2020-07-24,"new york city"
91,74,83,0.26,68.2,63,2020-07-25,"new york city"
95,80,88.13,0,63.5,47.29166667,2020-07-26,"new york city"
97,82,90.21,0,62.42,40.04166667,2020-07-27,"new york city"
96,84,88.48,0,67.16,49.64,2020-07-28,"new york city"
90,79,84.46,0,67.38,56.70833333,2020-07-29,"new york city"
95,81,86.79,0,61.63,43.83333333,2020-07-30,"new york city"
84,72,76.77,0.57,66.84,72.35483871,2020-07-31,"new york city"
89,74,81.42,0,64.88,58.91666667,2020-08-01,"new york city"
90,77,83.71,0,72.61,69.5,2020-08-02,"new york city"
92,74,83.53,0,65.03,55.40625,2020-08-03,"new york city"
82,74,78.08,0.53,69.35,75.25,2020-08-04,"new york city"
89,77,82.76,0.27,62.24,52.16,2020-08-05,"new york city"
82,74,77.67,0,60.25,55.58333333,2020-08-06,"new york city"
79,71,74.94,0.22,64.87,71.32258065,2020-08-07,"new york city"
85,72,76.64,0.22,66.75,72.03571429,2020-08-08,"new york city"
88,75,80.96,0,68,65.79166667,2020-08-09,"new york city"
94,79,85.38,0,69.46,60.41666667,2020-08-10,"new york city"
88,80,83.72,0,71.64,67.52,2020-08-11,"new york city"
90,78,82.59,0,72.46,71.79487179,2020-08-12,"new york city"
82,76,77.78,1.49,69.07,74.88888889,2020-08-13,"new york city"
88,74,79.88,0.11,66.25,64.70833333,2020-08-14,"new york city"
85,74,77.52,0,59.72,54.8,2020-08-15,"new york city"
73,69,70.62,0.03,62.59,75.55172414,2020-08-16,"new york city"
82,69,72.81,0.1,61.65,68.64516129,2020-08-17,"new york city"
85,67,76.27,0.97,59.85,59.38461538,2020-08-18,"new york city"
78,70,72.48,0.01,61.86,69.51724138,2020-08-19,"new york city"
83,68,74.42,0.13,53.29,49.625,2020-08-20,"new york city"
87,72,79.08,0,62.08,56.66666667,2020-08-21,"new york city"
91,77,83.48,0,65.7,56.03703704,2020-08-22,"new york city"
86,77,81.46,0,68.04,63.95833333,2020-08-23,"new york city"
93,78,84.96,0,67.08,56.64,2020-08-24,"new york city"
92,71,82.77,0,63.87,53.63333333,2020-08-25,"new york city"
79,70,74.92,0.36,51.83,45.125,2020-08-26,"new york city"
94,72,80.79,0.05,63.28,56.13793103,2020-08-27,"new york city"
89,76,80.04,0.38,64.79,60.79166667,2020-08-28,"new york city"
83,75,78.04,0.02,69.54,75.39285714,2020-08-29,"new york city"
81,71,75.29,0.01,53.83,47.75,2020-08-30,"new york city"
76,67,72.08,0,55.88,57.07692308,2020-08-31,"new york city"
80,68,72.53,0.18,62.97,72.64705882,2020-09-01,"new york city"
81,70,74.85,0,68.85,81.76923077,2020-09-02,"new york city"
88,75,78.57,0.04,66,68.65714286,2020-09-03,"new york city"
87,74,79.29,1.16,61.17,56.70833333,2020-09-04,"new york city"
81,69,74.63,0,49,42.125,2020-09-05,"new york city"
84,70,76.28,0,55.8,49.68,2020-09-06,"new york city"
80,71,75.13,0,60.17,60.25,2020-09-07,"new york city"
84,71,76,0,63.68,66.44,2020-09-08,"new york city"
80,72,75.65,0,66.71,73.93548387,2020-09-09,"new york city"
85,75,77.27,0.53,71.5,82.59090909,2020-09-10,"new york city"
78,68,74.24,0.96,60.6,63.52,2020-09-11,"new york city"
73,63,67.3,0,53.63,62.11111111,2020-09-12,"new york city"
77,64,71.24,0,60.03,68.03448276,2020-09-13,"new york city"
77,64,72.79,0,54.13,53.16666667,2020-09-14,"new york city"
67,55,61.38,0,43.04,51.16666667,2020-09-15,"new york city"
72,60,66.96,0,51.38,57.54166667,2020-09-16,"new york city"
77,67,71.84,0,60.52,67.96,2020-09-17,"new york city"
72,59,66.53,0,51.1,59.2,2020-09-18,"new york city"
65,51,58.33,0,30.21,35.41666667,2020-09-19,"new york city"
64,52,58.67,0,31.67,36.95833333,2020-09-20,"new york city"
65,52,59.5,0,34.71,40.45833333,2020-09-21,"new york city"
74,55,63.7,0,37.35,39.2173913,2020-09-22,"new york city"
80,62,71.5,0,48.04,43.58333333,2020-09-23,"new york city"
77,66,72.13,0,52.04,50,2020-09-24,"new york city"
80,65,70.52,0,58.6,66.96,2020-09-25,"new york city"
77,67,71.53,0,61.73,71.9,2020-09-26,"new york city"
78,70,73.39,0,65.67,77.21212121,2020-09-27,"new york city"
78,71,72.87,0.04,65.58,78.25806452,2020-09-28,"new york city"
74,69,72.11,0,67.16,84.24444444,2020-09-29,"new york city"
73,63,67.69,1.19,54.59,65.84375,2020-09-30,"new york city"
74,62,67.76,0,48.28,51.08,2020-10-01,"new york city"
67,58,62.42,0.02,44.83,53.91666667,2020-10-02,"new york city"
68,55,61.5,0.01,41.21,48.66666667,2020-10-03,"new york city"
67,53,60.71,0,45.46,57.91666667,2020-10-04,"new york city"
68,56,62.54,0,49.63,63.29166667,2020-10-05,"new york city"
70,59,64.83,0,48.46,57.70833333,2020-10-06,"new york city"
77,62,67.63,0,49.63,54.20833333,2020-10-07,"new york city"
64,57,60.33,0.02,39.67,46.79166667,2020-10-08,"new york city"
70,55,62.63,0,40.63,44.875,2020-10-09,"new york city"
73,60,66.88,0,53.58,62.54166667,2020-10-10,"new york city"
69,61,65.58,0,52.25,62.5,2020-10-11,"new york city"
59,52,54.83,0.19,50.36,84.95238095,2020-10-12,"new york city"
61,55,57.83,0.9,53.8,86.6,2020-10-13,"new york city"
71,55,62.21,0.13,43.13,51.29166667,2020-10-14,"new york city"
73,58,65.21,0,53.17,65.5,2020-10-15,"new york city"
66,51,58.42,0,52.52,81.03030303,2020-10-16,"new york city"
61,49,54.54,1.46,34.13,49.54166667,2020-10-17,"new york city"
64,50,57.08,0,42.58,59.45833333,2020-10-18,"new york city"
67,54,60.5,0,50.35,69.96153846,2020-10-19,"new york city"
72,60,64.31,0.01,59.02,83,2020-10-20,"new york city"
71,62,65.26,0,61.18,86.86,2020-10-21,"new york city"
69,65,66.88,0,62.3,85.15151515,2020-10-22,"new york city"
70,64,65.7,0,60.42,83.275,2020-10-23,"new york city"
70,52,63.89,0,53.46,69.5,2020-10-24,"new york city"
54,47,50.68,0,35.8,57.28,2020-10-25,"new york city"
59,53,56.24,0.02,52.34,86.94736842,2020-10-26,"new york city"
60,54,57.32,0.03,49.53,76.73529412,2020-10-27,"new york city"
59,53,55.42,0.05,49.11,80.08333333,2020-10-28,"new york city"
58,47,51.81,0.11,46.62,83,2020-10-29,"new york city"
47,39,41.76,1.99,36.62,82.11764706,2020-10-30,"new york city"
47,35,41.79,0.22,28,59.54166667,2020-10-31,"new york city"
56,45,51.9,0,40.52,66.31034483,2020-11-01,"new york city"
46,40,43.33,0.43,21.5,42.75,2020-11-02,"new york city"
55,42,48.67,0,27.08,43.5,2020-11-03,"new york city"
63,42,53.25,0,36.58,53.875,2020-11-04,"new york city"
70,52,59.5,0,49.17,70.29166667,2020-11-05,"new york city"
72,57,63.25,0,47.38,57.95833333,2020-11-06,"new york city"
76,57,66.62,0,42.95,43.85714286,2020-11-07,"new york city"
77,61,68.36,0,49,54.21428571,2020-11-09,"new york city"
75,59,66.46,0,56.13,69.95833333,2020-11-10,"new york city"
70,62,66.17,0,61.73,85.625,2020-11-11,"new york city"
69,48,58.72,0.77,52.26,79.38461538,2020-11-12,"new york city"
52,48,49.76,0.18,44.53,82.55263158,2020-11-13,"new york city"
53,45,49.83,0.12,30.17,47.45833333,2020-11-14,"new york city"
64,42,54.37,0,41.7,62.73333333,2020-11-15,"new york city"
56,49,52.21,0.13,26,36.54166667,2020-11-16,"new york city"
50,39,46.17,0,24.83,44,2020-11-17,"new york city"
38,33,35.67,0,16.75,46.5,2020-11-18,"new york city"
50,33,42,0,20.88,43.5,2020-11-19,"new york city"
64,47,54.88,0,32.5,NA,2020-11-20,"new york city"
65,51,58,0,35.38,43.16666667,2020-11-21,"new york city"
60,46,51.22,0,40.26,66.77777778,2020-11-22,"new york city"
61,45,54.24,0.5,43.21,67.51515152,2020-11-23,"new york city"
50,44,46.71,0.18,26.63,46.04166667,2020-11-24,"new york city"
55,46,51.46,0,35.42,NA,2020-11-25,"new york city"
66,54,60.36,0.67,50.64,71.48,2020-11-26,"new york city"
63,53,57.71,0.21,42.46,57.45833333,2020-11-27,"new york city"
57,47,52.04,0,34.5,51.70833333,2020-11-28,"new york city"
56,42,49.79,0,26.13,40.95833333,2020-11-29,"new york city"
65,49,59.56,0,52.5,77.85294118,2020-11-30,"new york city"
60,40,51.14,1.23,39.07,65,2020-12-01,"new york city"
45,39,41.83,0,25.17,51.79166667,2020-12-02,"new york city"
51,38,45.35,0,21.74,40.91304348,2020-12-03,"new york city"
53,47,49.07,0,35.32,60.89285714,2020-12-04,"new york city"
48,41,45.07,0.76,35.83,71.24137931,2020-12-05,"new york city"
42,36,39.33,0.38,21.75,49.54166667,2020-12-06,"new york city"
42,34,37.29,0,20.08,50.29166667,2020-12-07,"new york city"
38,32,34.56,0,20.48,56.68,2020-12-08,"new york city"
40,34,36.79,0,24.71,62.42857143,2020-12-09,"new york city"
50,39,45.13,0.02,30.42,56.83333333,2020-12-10,"new york city"
55,40,48.21,0,36.29,63.625,2020-12-11,"new york city"
56,44,50.74,0,46.38,84.94117647,2020-12-12,"new york city"
62,49,54.87,0,41.43,62,2020-12-13,"new york city"
47,39,41.38,0,30.86,67.10344828,2020-12-14,"new york city"
41,32,36.92,0.23,17,44.625,2020-12-15,"new york city"
33,28,30.76,0,20.19,67.45945946,2020-12-16,"new york city"
34,26,30.09,0.65,23.77,78.2,2020-12-17,"new york city"
33,27,29.83,0.04,15.54,56,2020-12-18,"new york city"
34,25,29.83,0,15.33,55.33333333,2020-12-19,"new york city"
40,33,36.45,0,26.87,69.58064516,2020-12-20,"new york city"
48,38,42,0.01,32.58,70,2020-12-21,"new york city"
47,40,43.44,0,29.16,58.88,2020-12-22,"new york city"
45,39,41.88,0,24.21,50.20833333,2020-12-23,"new york city"
62,43,55.3,0,47.3,74.77777778,2020-12-24,"new york city"
63,32,51.12,0.69,43.26,75.17647059,2020-12-25,"new york city"
34,26,29.75,0.22,11.54,46.95833333,2020-12-26,"new york city"
40,27,33.33,0,16.04,49.79166667,2020-12-27,"new york city"
51,37,45.56,0,30.44,56.16,2020-12-28,"new york city"
44,33,38.63,0,16.92,41.83333333,2020-12-29,"new york city"
45,31,37.76,0,18.64,46.8,2020-12-30,"new york city"
50,38,45.21,0.1,33.76,64.86206897,2020-12-31,"new york city"
41,35,37.96,0.43,28.04,68.35714286,2021-01-01,"new york city"
52,38,43.33,0.72,34.36,72.27272727,2021-01-02,"new york city"
39,36,38,0,31.32,77.16129032,2021-01-03,"new york city"
44,37,39.79,0.17,31.31,71.86206897,2021-01-04,"new york city"
42,39,40.28,0,28.72,63.55172414,2021-01-05,"new york city"
42,37,38.85,0,26.7,62.25925926,2021-01-06,"new york city"
43,33,37.13,0,21.25,53.20833333,2021-01-07,"new york city"
39,31,33.88,0,19.92,56.75,2021-01-08,"new york city"
37,28,33.46,0,15.58,48.41666667,2021-01-09,"new york city"
43,32,36.17,0,19.33,50.875,2021-01-10,"new york city"
38,31,34.33,0,21.79,60.41666667,2021-01-11,"new york city"
45,36,39.42,0,23.83,54.25,2021-01-12,"new york city"
44,37,40.83,0,23.58,50.58333333,2021-01-13,"new york city"
50,40,44.13,0,30.83,60.08333333,2021-01-14,"new york city"
47,38,42.55,0,36.29,78.44736842,2021-01-15,"new york city"
48,40,43.92,1.15,35.95,74.45945946,2021-01-16,"new york city"
46,38,42.38,0,23.5,47.75,2021-01-17,"new york city"
46,40,42.88,0,25.42,50.33333333,2021-01-18,"new york city"
43,38,40.25,0,21.42,NA,2021-01-19,"new york city"
41,29,36.37,0,19.6,52.63333333,2021-01-20,"new york city"
45,28,36.42,0.02,16.96,45.58333333,2021-01-21,"new york city"
46,38,43,0,20.75,41.625,2021-01-22,"new york city"
37,27,31.58,0,9.67,40.33333333,2021-01-23,"new york city"
34,24,29.2,0,7.52,40.8,2021-01-24,"new york city"
39,26,32.38,0,11.46,42.41666667,2021-01-25,"new york city"
36,33,34.43,0,24.94,70.2,2021-01-26,"new york city"
38,33,36.21,0.07,26,67.57142857,2021-01-27,"new york city"
35,23,30.29,0,12,47.25,2021-01-28,"new york city"
27,18,22.5,0,4.04,45.29166667,2021-01-29,"new york city"
34,20,26.04,0,6.21,44.08333333,2021-01-30,"new york city"
40,21,24.15,0,11.85,60.55555556,2021-01-31,"new york city"
34,26,30.74,0.19,27.63,88.14285714,2021-02-01,"new york city"
35,30,32.52,0.75,27.06,80.48387097,2021-02-02,"new york city"
38,30,33.42,0.02,22.31,64.26923077,2021-02-03,"new york city"
43,33,37.75,0,20.92,51.04166667,2021-02-04,"new york city"
48,37,41.96,0,29.19,61.2962963,2021-02-05,"new york city"
45,34,40.25,0.06,14.67,35.95833333,2021-02-06,"new york city"
38,28,33.32,0,26.76,78.07894737,2021-02-07,"new york city"
31,19,25.38,0.39,7.79,48.04166667,2021-02-08,"new york city"
33,26,30.63,0,23.53,75,2021-02-09,"new york city"
36,27,30.8,0.01,16.97,58.23333333,2021-02-10,"new york city"
33,26,28.86,0.1,19.14,68.66666667,2021-02-11,"new york city"
30,22,26.83,0,4.13,39.20833333,2021-02-12,"new york city"
31,26,28.64,0,9.18,44.53571429,2021-02-13,"new york city"
38,28,32.56,0,23.66,70.09375,2021-02-14,"new york city"
34,32,33.67,0,28.11,80.74074074,2021-02-15,"new york city"
53,34,40.21,0.83,33.42,79.18421053,2021-02-16,"new york city"
33,24,29.67,0.03,7.29,39.75,2021-02-17,"new york city"
29,25,27.5,0,19.35,74,2021-02-18,"new york city"
34,28,31.44,0.34,26.9,83.09756098,2021-02-19,"new york city"
36,28,32.12,0.08,17.76,56.4,2021-02-20,"new york city"
38,26,31.83,0,13.46,47.95833333,2021-02-21,"new york city"
40,33,35.69,0,27.54,73.94285714,2021-02-22,"new york city"
46,38,41.58,0.56,28.46,60,2021-02-23,"new york city"
53,42,47.16,0.01,29.32,50.48,2021-02-24,"new york city"
52,41,45.38,0,20.42,37.79166667,2021-02-25,"new york city"
46,35,40.21,0,17.92,41.54166667,2021-02-26,"new york city"
52,37,44.14,0.06,38.27,80.45945946,2021-02-27,"new york city"
45,39,41.58,0.41,35.52,79.48387097,2021-02-28,"new york city"
48,33,42.68,0.42,32.19,70.16129032,2021-03-01,"new york city"
34,23,29.46,0.02,3.46,33.625,2021-03-02,"new york city"
52,33,43.04,0,17.08,36.0833333333333,2021-03-03,"new york city"
44,28,39.08,0,19.17,45.4166666666666,2021-03-04,"new york city"
38,25,31.88,0,5.21,34.0416666666666,2021-03-05,"new york city"
35,30,32.54,0,12.29,43.375,2021-03-06,"new york city"
41,30,34.5,0,12.75,41.2083333333333,2021-03-07,"new york city"
44,28,36.54,0,9.38,33.5,2021-03-08,"new york city"
61,43,51.29,0,20.42,30.4583333333333,2021-03-09,"new york city"
54,39,46.56,0,33.41,61.2592592592592,2021-03-10,"new york city"
67,44,53.71,0,40.94,66.6774193548387,2021-03-11,"new york city"
67,53,61.04,0,28.46,32.5,2021-03-12,"new york city"
50,34,43.42,0,9.46,25.9583333333333,2021-03-13,"new york city"
51,33,44.26,0,14.22,30.1304347826086,2021-03-14,"new york city"
39,25,31.96,0,0.58,27.4583333333333,2021-03-15,"new york city"
36,29,33.19,0,11.67,43.3703703703703,2021-03-16,"new york city"
47,34,40.19,0,31.27,70.7307692307692,2021-03-17,"new york city"
46,42,43.97,0,39.32,83.8648648648648,2021-03-18,"new york city"
43,32,37.8,0.65,12.32,37.84,2021-03-19,"new york city"
59,35,45.08,0,17.13,34.3333333333333,2021-03-20,"new york city"
61,38,49.13,0,25.25,44.75,2021-03-21,"new york city"
56,39,47.33,0,32.67,60.5,2021-03-22,"new york city"
58,42,47.65,0,40.16,76.4193548387096,2021-03-23,"new york city"
49,44,46,0,42.13,86.5777777777777,2021-03-24,"new york city"
67,46,55.34,1.32,50.2,83.7142857142857,2021-03-25,"new york city"
82,52,60.03,0.03,47.68,70.0588235294117,2021-03-26,"new york city"
67,51,56.92,0,38.58,51.125,2021-03-27,"new york city"
58,46,52.59,0,47.68,83.9268292682926,2021-03-28,"new york city"
55,46,49.75,0.6,24,37.2083333333333,2021-03-29,"new york city"
58,42,50.25,0,31.96,51.6666666666666,2021-03-30,"new york city"
64,50,56.16,0,49.87,80.0322580645161,2021-03-31,"new york city"
57,40,46.9,0.38,34.73,65.3666666666666,2021-04-01,"new york city"
39,30,35.33,0.01,13.33,41.25,2021-04-02,"new york city"
54,34,42.83,0,12.33,31.0416666666666,2021-04-03,"new york city"
62,47,53.58,0,25.79,35.0833333333333,2021-04-04,"new york city"
67,49,57.29,0,23.29,29.0416666666666,2021-04-05,"new york city"
68,49,57.33,0,21.96,27.7083333333333,2021-04-06,"new york city"
71,51,58.04,0,32.96,39.9166666666666,2021-04-07,"new york city"
69,48,57.54,0,40.29,54.4166666666666,2021-04-08,"new york city"
56,49,50.97,0,43.23,75.1666666666666,2021-04-09,"new york city"
66,50,56.16,0,48.75,77,2021-04-10,"new york city"
56,47,52,0,49.51,91.1714285714285,2021-04-11,"new york city"
51,46,47.51,0.4,41.22,79.5135135135135,2021-04-12,"new york city"
64,45,52.92,0.55,39.04,61.8461538461538,2021-04-13,"new york city"
71,49,59.75,0,43.17,56.9166666666666,2021-04-14,"new york city"
60,47,51.41,0,46.43,83.2162162162162,2021-04-15,"new york city"
52,42,46.96,0.93,35.41,65.074074074074,2021-04-16,"new york city"
54,44,49.11,0.03,34.44,58.6666666666666,2021-04-17,"new york city"
62,50,55.25,0,37.5,52.125,2021-04-18,"new york city"
64,52,58.58,0,38.42,47.7916666666666,2021-04-19,"new york city"
75,53,63.13,0,40.25,45.375,2021-04-20,"new york city"
65,41,54.29,0,40.61,60.6428571428571,2021-04-21,"new york city"
48,38,43.04,0.27,17.46,36.625,2021-04-22,"new york city"
65,41,53.33,0,19.63,28.8333333333333,2021-04-23,"new york city"
70,54,61.17,0,29.08,30.5416666666666,2021-04-24,"new york city"
63,50,54.86,0.41,42.93,66.2413793103448,2021-04-25,"new york city"
